"TEAM","game_id","HOME","PASSINGYARDS","RUSHINGYARDS","TURNOVERS","THIRDDOWN%","REDZONETD%","PENALTYYARDS","OPPONENTPAG","EPA_per_play","PASS_EPA","RUSH_EPA","SUCCESS_RATE","POINTSSCORED"
"ARI","2024_01_ARI_BUF",0,162,124,1,0.615384615384615,0.117647058823529,10,21.3,0.144978042459721,-0.0338528495774892,0.199397988084148,0.45945945945946,28
"BUF","2024_01_ARI_BUF",1,232,130,1,0.25,0.173913043478261,86,21.4705882352941,0.191357432358954,0.36644392364404,0.109303437486689,0.6125,34
"BAL","2024_01_BAL_KC",0,273,185,1,0.4375,0.0588235294117647,40,20.1,0.0210170840130652,-0.0593133239182627,0.264350246208455,0.563829787234043,20
"KC","2024_01_BAL_KC",1,291,72,1,0.4,0.0769230769230769,69,20.7368421052632,0.125983585853472,0.369480206906833,-0.0459211214405705,0.478260869565217,27
"CAR","2024_01_CAR_NO",0,161,58,4,0.153846153846154,0.142857142857143,59,23.1176470588235,-0.379689464684967,-0.527636986451812,-0.411530753568513,0.38961038961039,10
"NO","2024_01_CAR_NO",1,200,180,0,0.571428571428571,0.266666666666667,116,30.8235294117647,0.199165358970036,0.319739630478044,0.128847256163215,0.5,47
"CLE","2024_01_DAL_CLE",1,169,93,2,0.125,0.181818181818182,90,27.2941176470588,-0.246801869129468,-0.453248166256612,0.215007852196179,0.298969072164948,16
"DAL","2024_01_DAL_CLE",0,179,102,0,0.266666666666667,0.125,59,25.5882352941176,-0.0382533089966946,-0.190495365587491,0.00506595990130636,0.421686746987952,33
"DEN","2024_01_DEN_SEA",0,138,99,4,0.263157894736842,0.0588235294117647,15,21.2352941176471,-0.134441029925922,-0.474050591122793,-0.0242443623091095,0.380434782608696,19
"SEA","2024_01_DEN_SEA",1,171,146,1,0.307692307692308,0,86,18.3888888888889,-0.0481814205138095,-0.204989150787505,0.0368724969002262,0.476190476190476,26
"GB","2024_01_GB_PHI",0,260,163,1,0.357142857142857,0.037037037037037,102,17.6190476190476,0.0915969554592705,0.0641535480293977,0.381395836489741,0.470588235294118,29
