,TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,EPA_per_play,PASS_EPA,RUSH_EPA,SUCCESS_RATE,POINTSSCORED,EPA_per_play_last3,REDZONETD%_last3,POINTSSCORED_last3,OPPONENTPAG_last3
248,ATL,2024_09_DAL_ATL,1,222,100,1,0.285714285714286,0.230769230769231,25,27.2941176470588,0.0185402847706572,0.276086371471243,-0.0580988371425687,0.458333333333333,27,0.07223300838966466,0.16060606060606067,27.666666666666668,24.575163398692833
276,ATL,2024_10_ATL_NO,0,306,181,1,0.411764705882353,0.0625,75,23.1176470588235,-0.0365464487385099,-0.0303767436356571,0.207136067492684,0.531914893617021,17,0.011267949258941054,0.1930846930846933,24.0,23.398692810457533
304,ATL,2024_11_ATL_DEN,0,197,50,1,0.357142857142857,0.0,40,18.3888888888889,-0.171990238197613,-0.156295563681515,-0.464330184747398,0.44,6,0.046889477561339425,0.153311965811966,25.0,24.02614379084967
368,ATL,2024_13_LAC_ATL,1,245,116,4,0.214285714285714,0.0588235294117647,24,17.6666666666667,-0.169639722041975,-0.290838837165726,-0.180399679199704,0.478260869565217,13,-0.06333213405515524,0.09775641025641034,16.666666666666668,22.933551198257067
390,ATL,2024_14_ATL_MIN,0,344,158,3,0.538461538461538,0.105263157894737,60,19.3333333333333,0.0004270360971864,0.0188362215069065,0.193250235058915,0.555555555555556,21,-0.1260588029926993,0.04044117647058823,12.0,19.7244008714597
416,ATL,2024_15_ATL_LV,0,112,168,1,0.333333333333333,0.0,45,25.1176470588235,-0.198556644421863,-0.37559989432751,-0.120241238248025,0.346153846153846,15,-0.11373430804746722,0.05469556243550056,13.333333333333334,18.462962962962965
468,ATL,2024_16_NYG_ATL,1,202,127,1,0.5625,0.105263157894737,60,24.0588235294118,0.066336592392204,0.242508881247064,-0.0421388984557577,0.531645569620253,34,-0.12258977678888387,0.05469556243550056,16.333333333333332,20.705882352941167
482,ATL,2024_17_ATL_WAS,0,223,126,1,0.307692307692308,0.2,53,24.5,0.100012114729381,-0.0173770918330268,0.199802681554423,0.5625,24,-0.0439310053108242,0.07017543859649134,23.333333333333332,22.836601307189536
514,ATL,2024_18_CAR_ATL,1,312,227,1,0.642857142857143,0.16,55,30.8235294117647,0.200633084953202,0.140176386750782,0.448443948726268,0.648936170212766,38,-0.010735979100092672,0.10175438596491233,24.333333333333332,24.558823529411768
2,BAL,2024_01_BAL_KC,0,273,185,1,0.4375,0.0588235294117647,40,20.1,0.0210170840130652,-0.0593133239182627,0.264350246208455,0.563829787234043,20,0.08317435356079249,0.1526315789473685,29.0,24.279411764705902
48,BAL,2024_02_LV_BAL,1,247,146,1,0.214285714285714,0.285714285714286,54,25.1176470588235,-0.0353156589015485,0.0286526539747861,-0.0605797634817901,0.465116279069767,23,0.06051459937122308,0.12941176470588237,22.0,22.3
64,BAL,2024_03_BAL_DAL,0,182,274,0,0.4,0.333333333333333,55,27.2941176470588,0.125254600192364,0.711390576985044,0.255571208790058,0.469135802469136,28,-0.007149287444241665,0.17226890756302535,21.5,22.60882352941175
96,BAL,2024_04_BUF_BAL,1,157,271,1,0.555555555555556,0.285714285714286,77,21.3,0.211268353820152,0.388837639518897,0.237687862929306,0.549295774647887,35,0.03698534176796023,0.22595704948646123,23.666666666666668,24.1705882352941
130,BAL,2024_05_BAL_CIN,0,348,175,1,0.666666666666667,0.294117647058824,20,24.4117647058824,0.25153987805659,0.49414441551642,0.025026782784627,0.589473684210526,38,0.10040243170365581,0.3015873015873016,28.666666666666668,24.5705882352941
182,BAL,2024_06_WAS_BAL,1,323,176,1,0.666666666666667,0.166666666666667,36,24.5,0.18508266033526,0.392915406338734,-0.0098012434817419,0.542168674698795,30,0.19602094402303535,0.30438842203548094,33.666666666666664,24.335294117647067
184,BAL,2024_07_BAL_TB,0,281,244,1,0.375,0.19047619047619,100,21.6666666666667,0.301233250257474,1.0465434907669,0.0125998539365051,0.540540540540541,41,0.21596363073733402,0.24883286647992564,34.333333333333336,23.403921568627467
218,BAL,2024_08_BAL_CLE,0,289,124,0,0.25,0.214285714285714,97,25.5882352941176,0.0549440525357627,0.199200828395215,-0.0922735887524184,0.5,24,0.24595192954977466,0.21708683473389367,36.333333333333336,23.5261437908497
250,BAL,2024_09_DEN_BAL,1,280,127,0,0.375,0.173913043478261,56,18.3888888888889,0.342818205061851,0.966950780715702,0.0814094907302561,0.605633802816901,41,0.18041998770949888,0.19047619047619033,31.666666666666668,23.918300653594766
