game_id,TEAM,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,PENALTYYARDS,POINTSSCORED,EPA_per_play,PASS_EPA,RUSH_EPA,SUCCESS_RATE,THIRDDOWN%,REDZONETD%,OPPONENTPAG,EPA_per_play_last3,REDZONETD%_last3,POINTSSCORED_last3,OPPONENTPAG_last3,Adj_EPA,Adj_REDZONETD%,Adj_POINTS_last3,EPA_x_REDZONETD,YARD_RATIO
2021_01_ARI_TEN,ARI,289,136,1,86,38,0.0830733360950668,0.4052417577971904,-0.0311012589128571,0.411764705882353,0.5714285714285714,0.1818181818181818,20.615384615384617,0.0830733360950668,0.1818181818181818,38.0,20.615384615384617,-20.53231127928955,0.0,17.384615384615383,0.0151042429263757,2.1094890510948905
2021_02_MIN_ARI,ARI,400,103,2,25,34,0.0853025783736821,0.1870906444050038,-0.0955526840585257,0.5,0.2727272727272727,0.2,23.26923076923077,0.0841879572343745,0.1909090909090909,36.0,21.942307692307693,-21.85700511393401,0.009090909090909,14.057692307692308,0.0170605156747364,3.8461538461538463
2021_03_ARI_JAX,ARI,316,91,1,50,31,0.0383623638800713,0.2339929449597834,0.0821474859678549,0.4819277108433735,0.0909090909090909,0.1875,22.9622641509434,0.0689127594496067,0.1897727272727273,34.333333333333336,22.282293178519595,-22.243930814639523,-0.0022727272727272,12.05104015481374,0.0071929432275133,3.4347826086956523
2021_04_ARI_LA,ARI,268,216,0,36,37,0.220631703527659,0.4285361153867814,0.1075444778501003,0.5319148936170213,0.6,0.12,21.535714285714285,0.1147655485938041,0.1691666666666666,34.0,22.58906973529615,-22.36843803176849,-0.0491666666666666,11.41093026470385,0.026475804423319,1.2350230414746544
2021_05_SF_ARI,ARI,239,94,1,25,17,-0.0622193918295426,0.0134341627558105,-0.0248308267837273,0.4383561643835616,0.3,0.2,18.433333333333334,0.0655915585260626,0.1691666666666666,28.33333333333333,20.97710392333034,-21.039323315159884,0.0308333333333333,7.356229410002992,-0.0124438783659085,2.5157894736842104
2021_06_ARI_CLE,ARI,229,144,0,88,37,0.1774590847556277,0.5429317664112532,-0.0304913348817666,0.4772727272727273,0.5625,0.09375,22.173076923076923,0.111957132151248,0.1379166666666666,30.33333333333333,20.714041514041515,-20.53658242928589,-0.0441666666666666,9.619291819291815,0.0166367891958401,1.5793103448275865
2021_07_HOU_ARI,ARI,261,172,1,50,31,0.0246197095082069,0.3696210927715594,-0.1198847232316278,0.4705882352941176,0.4666666666666667,0.2,23.433962264150946,0.0466198008114306,0.1645833333333333,28.33333333333333,21.346790840187065,-21.322171130678857,0.0354166666666666,6.986542493146267,0.0049239419016413,1.5086705202312138
2021_08_GB_ARI,ARI,274,74,2,81,21,0.0638989367460123,0.0895442309541603,0.0301491639198502,0.5211267605633804,0.4,0.2307692307692307,21.203703703703702,0.088659243669949,0.1748397435897436,29.666666666666668,22.27024763031052,-22.206348693564507,0.0559294871794871,7.396419036356146,0.014745908479849,3.653333333333333
2021_09_ARI_SF,ARI,282,163,0,63,31,0.181389626476933,0.5916943579086364,-0.0345239073684465,0.4534883720930233,0.5625,0.125,18.433333333333334,0.0899694242437174,0.1852564102564102,27.666666666666668,21.023666433729325,-20.842276807252397,-0.0602564102564102,6.643000232937343,0.0226737033096166,1.7195121951219512
2021_10_CAR_ARI,ARI,143,65,2,80,10,-0.3953106836194593,-0.5303720974616772,-0.5558539123798255,0.3142857142857143,0.2857142857142857,0.25,22.980392156862745,-0.0500073734655046,0.2019230769230769,20.666666666666668,20.872476397966597,-21.267787081586054,0.048076923076923,-0.2058097312999258,-0.0988276709048648,2.1666666666666665
2021_11_ARI_SEA,ARI,328,95,0,35,23,0.0908847496394634,0.4086200135501726,-0.0918668047975629,0.5257731958762887,0.5,0.1666666666666666,22.653846153846157,-0.0410121025010209,0.1805555555555555,21.33333333333333,21.355857214680743,-21.26497246504128,-0.0138888888888888,-0.0225238813474106,0.0151474582732438,3.4166666666666665
2021_13_ARI_CHI,ARI,123,137,0,30,33,0.1311606262384495,0.5045789848483023,-0.098805260733168,0.5,0.4,0.15,24.31372549019608,-0.0577551025805154,0.1888888888888888,22.0,23.315987933634997,-23.184827307396542,-0.0388888888888888,-1.3159879336349931,0.0196740939357674,0.8913043478260869
2021_14_LA_ARI,ARI,383,103,2,40,23,-0.020775882386792,-0.0436395498669721,-0.2020796139601289,0.431578947368421,0.5,0.1538461538461538,21.535714285714285,0.067089831163707,0.1568376068376068,26.33333333333333,22.83442864325217,-22.855204525638964,-0.0029914529914529,3.4989046900811616,-0.003196289597968,3.682692307692308
2021_15_ARI_DET,ARI,313,105,1,34,12,-0.1483072604517389,-0.2527998483054962,0.0655813058531891,0.4044943820224718,0.4705882352941176,0.0,24.85185185185185,-0.0126408388666937,0.1012820512820512,22.666666666666668,23.567097209254072,-23.71540446970581,-0.1012820512820512,-0.9004305425874044,-0.0,2.952830188679245
2021_16_IND_ARI,ARI,245,133,0,35,13,-0.1182532312016843,-0.0691420887988372,0.2728116026929846,0.4177215189873418,0.4,0.1,22.823529411764707,-0.0957787913467384,0.0846153846153846,16.0,23.07036518311028,-23.188618414311964,0.0153846153846153,-7.07036518311028,-0.0118253231201684,1.828358208955224
2021_17_ARI_DAL,ARI,286,127,0,63,25,0.0761301247633054,0.2745129671887061,-0.0249439511888859,0.4456521739130434,0.4,0.1052631578947368,19.87272727272727,-0.0634767889633725,0.0684210526315789,16.666666666666668,22.51603617878128,-22.43990605401797,0.0368421052631578,-5.84936951211461,0.0080136973435058,2.234375
