TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,POINTSSCORED
ATL,2024_11_ATL_DEN,0,197,50,1,0.357142857,0,40,18.38888889,6
DEN,2024_11_ATL_DEN,1,307,105,0,0.5,0.222222222,57,23.88235294,38
BAL,2024_11_BAL_PIT,0,207,124,3,0.307692308,0.4,60,20.72222222,16
PIT,2024_11_BAL_PIT,1,205,122,1,0.222222222,0,65,20.73684211,18
CIN,2024_11_CIN_LAC,0,356,110,0,0.294117647,0.08,70,17.66666667,27
LAC,2024_11_CIN_LAC,1,297,155,1,0.285714286,0.066666667,36,24.41176471,33
CLE,2024_11_CLE_NO,0,395,66,0,0.214285714,0,30,23.11764706,14
NO,2024_11_CLE_NO,1,266,214,2,0.5,0.142857143,25,25.58823529,35
CHI,2024_11_GB_CHI,1,231,179,0,0.5625,0.1,60,19.27777778,19
GB,2024_11_GB_CHI,0,261,106,1,0.2,0.2,15,20.88235294,20
DAL,2024_11_HOU_DAL,1,358,64,2,0.3125,0,80,20.84210526,10
HOU,2024_11_HOU_DAL,0,257,141,1,0.307692308,0.076923077,55,27.29411765,33
IND,2024_11_IND_NYJ,0,272,91,1,0.4,0.230769231,35,23.05882353,28
NYJ,2024_11_IND_NYJ,1,184,91,0,0.307692308,0.25,19,24.88235294,27
DET,2024_11_JAX_DET,1,449,196,0,0.6,0.227272727,50,25,52
JAX,2024_11_JAX_DET,0,138,41,1,0.181818182,0,36,21.05555556,6
BUF,2024_11_KC_BUF,1,262,104,1,0.647058824,0.1875,32,20.1,30
KC,2024_11_KC_BUF,0,196,78,2,0.5,0.2,49,21.3,21
LA,2024_11_LA_NE,0,295,107,0,0.222222222,0.25,15,23.82352941,28
NE,2024_11_LA_NE,1,282,125,2,0.4375,0.095238095,96,21.89473684,22
LV,2024_11_LV_MIA,0,282,60,1,0.571428571,0.058823529,28,20.76470588,19
MIA,2024_11_LV_MIA,1,288,82,0,0.714285714,0.115384615,44,25.11764706,31
MIN,2024_11_MIN_TEN,0,246,82,1,0.4375,0.142857143,81,27,23
TEN,2024_11_MIN_TEN,1,295,33,1,0.375,0,45,19.33333333,13
SEA,2024_11_SEA_SF,0,221,94,1,0.428571429,0.4,20,25,19
SF,2024_11_SEA_SF,1,159,131,1,0.538461538,0.125,54,21.23529412,17
PHI,2024_11_WAS_PHI,1,221,228,0,0.5625,0.058823529,30,24.5,26
WAS,2024_11_WAS_PHI,0,191,93,1,0.307692308,0.2,44,17.61904762,16
ARI,2024_12_ARI_SEA,0,285,49,1,0.230769231,0,55,21.23529412,6
SEA,2024_12_ARI_SEA,1,254,65,1,0.466666667,0.2,56,21.47058824,16
BAL,2024_12_BAL_LAC,0,177,212,0,0.533333333,0.181818182,52,17.66666667,30
LAC,2024_12_BAL_LAC,1,218,83,0,0.352941176,0.222222222,112,20.73684211,22
DAL,2024_12_DAL_WAS,0,247,91,1,0.266666667,0.090909091,78,24.5,33
WAS,2024_12_DAL_WAS,1,275,145,3,0.333333333,0.285714286,20,27.29411765,26
DEN,2024_12_DEN_LV,0,273,63,0,0.375,0.142857143,42,25.11764706,26
LV,2024_12_DEN_LV,1,328,69,2,0.294117647,0.047619048,60,18.38888889,19
DET,2024_12_DET_IND,0,269,137,0,0.6,0.1875,32,24.88235294,24
IND,2024_12_DET_IND,1,172,96,0,0.230769231,0,88,21.05555556,6
CAR,2024_12_KC_CAR,1,263,85,0,0.333333333,0.064516129,77,20.1,25
KC,2024_12_KC_CAR,0,269,165,0,0.5625,0.083333333,67,30.82352941,27
CHI,2024_12_MIN_CHI,1,340,78,0,0.333333333,0.1875,30,19.33333333,27
MIN,2024_12_MIN_CHI,0,344,124,2,0.466666667,0.142857143,95,20.88235294,27
MIA,2024_12_NE_MIA,1,317,65,1,0.384615385,0.157894737,19,23.82352941,34
NE,2024_12_NE_MIA,0,222,86,2,0.1875,0,73,20.76470588,15
LA,2024_12_PHI_LA,1,243,92,1,0.090909091,0.181818182,57,17.61904762,20
PHI,2024_12_PHI_LA,0,179,314,0,0.529411765,0.076923077,33,21.89473684,37
CLE,2024_12_PIT_CLE,1,219,85,3,0.083333333,0.176470588,48,20.72222222,24
PIT,2024_12_PIT_CLE,0,270,120,1,0.411764706,0.1,39,25.58823529,19
GB,2024_12_SF_GB,1,163,169,0,0.466666667,0.2,72,25,38
SF,2024_12_SF_GB,0,199,44,3,0.25,0.125,45,19.27777778,10
NYG,2024_12_TB_NYG,1,192,76,1,0.454545455,0.1,34,21.66666667,7
TB,2024_12_TB_NYG,0,294,157,1,0.571428571,0.25,37,24.05882353,30
HOU,2024_12_TEN_HOU,1,247,40,3,0.266666667,0.133333333,49,27,27
TEN,2024_12_TEN_HOU,0,278,132,2,0.333333333,0.125,67,20.84210526,32
ARI,2024_13_ARI_MIN,0,260,154,2,0.466666667,0.058823529,116,19.33333333,22
MIN,2024_13_ARI_MIN,1,235,68,1,0.125,0.166666667,36,21.47058824,23
CHI,2024_13_CHI_DET,0,256,78,0,0.4375,0.125,82,21.05555556,20
DET,2024_13_CHI_DET,1,221,194,1,0.428571429,0.086956522,75,20.88235294,23
CLE,2024_13_CLE_DEN,0,497,77,3,0.428571429,0.25,46,18.38888889,32
DEN,2024_13_CLE_DEN,1,294,106,2,0.461538462,0.1,57,25.58823529,41
HOU,2024_13_HOU_JAX,0,242,108,0,0.428571429,0.090909091,14,25,23
JAX,2024_13_HOU_JAX,1,276,97,1,0.375,0.066666667,31,20.84210526,18
IND,2024_13_IND_NE,0,109,144,2,0.461538462,0.136363636,53,23.82352941,23
NE,2024_13_IND_NE,1,238,200,1,0.545454545,0.074074074,50,24.88235294,24
ATL,2024_13_LAC_ATL,1,245,116,4,0.214285714,0.058823529,24,17.66666667,13
LAC,2024_13_LAC_ATL,0,150,56,1,0.25,0,19,23.88235294,17
LA,2024_13_LA_NO,0,183,156,0,0.454545455,0.3,43,23.11764706,21
NO,2024_13_LA_NO,1,184,143,0,0.333333333,0,25,21.89473684,14
KC,2024_13_LV_KC,1,306,63,0,0.388888889,0.0625,76,25.11764706,19
LV,2024_13_LV_KC,0,340,116,1,0.230769231,0,65,20.1,17
GB,2024_13_MIA_GB,1,274,114,1,0.454545455,0.142857143,34,20.76470588,30
MIA,2024_13_MIA_GB,0,365,39,0,0.266666667,0.166666667,85,19.27777778,17
DAL,2024_13_NYG_DAL,1,195,122,0,0.555555556,0.111111111,73,24.05882353,27
NYG,2024_13_NYG_DAL,0,178,116,2,0.266666667,0.5,73,27.29411765,19
BAL,2024_13_PHI_BAL,1,237,166,0,0.411764706,0.153846154,25,17.61904762,18
PHI,2024_13_PHI_BAL,0,118,140,0,0.333333333,0.166666667,50,20.73684211,24
CIN,2024_13_PIT_CIN,1,309,93,3,0.454545455,0.235294118,86,20.72222222,37
PIT,2024_13_PIT_CIN,0,414,110,1,0.5,0.117647059,118,24.41176471,44
NYJ,2024_13_SEA_NYJ,1,185,89,2,0.4,0.25,65,21.23529412,21
SEA,2024_13_SEA_NYJ,0,206,84,2,0.3125,0.111111111,68,23.05882353,26
BUF,2024_13_SF_BUF,1,152,220,0,0.5,0.307692308,20,25,35
SF,2024_13_SF_BUF,0,94,153,3,0.3,0.1,25,21.3,10
CAR,2024_13_TB_CAR,1,298,78,1,0.352941176,0.05,44,21.66666667,23
TB,2024_13_TB_CAR,0,240,236,2,0.2,0.076923077,72,30.82352941,23
TEN,2024_13_TEN_WAS,0,212,35,2,0.428571429,0.142857143,84,24.5,19
WAS,2024_13_TEN_WAS,1,206,267,1,0.666666667,0.217391304,74,27,42
ATL,2024_14_ATL_MIN,0,344,158,3,0.538461538,0.105263158,60,19.33333333,21
MIN,2024_14_ATL_MIN,1,347,115,0,0.666666667,0.181818182,102,23.88235294,42
BUF,2024_14_BUF_LA,0,342,103,0,0.636363636,0.2,115,21.89473684,41
LA,2024_14_BUF_LA,1,320,137,0,0.705882353,0.2,43,21.3,44
CAR,2024_14_CAR_PHI,0,191,118,1,0.411764706,0.142857143,57,17.61904762,16
PHI,2024_14_CAR_PHI,1,108,209,0,0.583333333,0.214285714,26,30.82352941,22
CHI,2024_14_CHI_SF,0,140,68,1,0.4,0.222222222,21,25,13
SF,2024_14_CHI_SF,1,325,131,1,0.461538462,0.25,40,20.88235294,38
CIN,2024_14_CIN_DAL,0,369,74,2,0.363636364,0.125,71,27.29411765,27
DAL,2024_14_CIN_DAL,1,183,156,1,0.307692308,0.166666667,42,24.41176471,20
CLE,2024_14_CLE_PIT,0,212,104,2,0.176470588,0.111111111,75,20.72222222,14
PIT,2024_14_CLE_PIT,1,158,120,2,0.411764706,0.15,67,25.58823529,27
DET,2024_14_GB_DET,1,283,111,1,0.5,0.16,59,19.27777778,31
GB,2024_14_GB_DET,0,206,99,1,0.428571429,0.173913043,56,21.05555556,28
JAX,2024_14_JAX_TEN,0,220,71,2,0.428571429,0.142857143,25,27,10
TEN,2024_14_JAX_TEN,1,168,126,0,0.5,0,39,25,6
KC,2024_14_LAC_KC,1,210,96,0,0.5,0.076923077,64,17.66666667,16
LAC,2024_14_LAC_KC,0,213,94,0,0.428571429,0.2,84,20.1,14
LV,2024_14_LV_TB,0,205,91,2,0.357142857,0.052631579,21,21.66666667,13
TB,2024_14_LV_TB,1,295,152,3,0.416666667,0.333333333,41,25.11764706,27
NO,2024_14_NO_NYG,0,219,92,1,0.352941176,0.4,72,24.05882353,14
NYG,2024_14_NO_NYG,1,227,112,1,0.25,0.1,80,23.11764706,11
MIA,2024_14_NYJ_MIA,1,331,44,0,0.2,0.136363636,73,23.05882353,26
NYJ,2024_14_NYJ_MIA,0,339,83,0,0.294117647,0.111111111,59,20.76470588,26
ARI,2024_14_SEA_ARI,1,259,121,2,0.333333333,0.066666667,59,21.23529412,18
SEA,2024_14_SEA_ARI,0,233,176,0,0.411764706,0.090909091,52,21.47058824,27
ATL,2024_15_ATL_LV,0,112,168,1,0.333333333,0,45,25.11764706,15
LV,2024_15_ATL_LV,1,208,65,3,0.285714286,0.5,40,23.88235294,9
BAL,2024_15_BAL_NYG,0,290,170,1,0.818181818,0.142857143,30,24.05882353,35
NYG,2024_15_BAL_NYG,1,191,55,1,0.3125,0.1,126,20.73684211,14
BUF,2024_15_BUF_DET,0,362,197,0,0.384615385,0.178571429,47,21.05555556,48
DET,2024_15_BUF_DET,1,494,48,1,0.461538462,0.227272727,43,21.3,41
CHI,2024_15_CHI_MIN,0,196,113,1,0.071428571,0.0625,51,19.33333333,12
MIN,2024_15_CHI_MIN,1,231,114,1,0.444444444,0.1875,98,20.88235294,27
CIN,2024_15_CIN_TEN,0,271,101,3,0.625,0.103448276,124,27,37
TEN,2024_15_CIN_TEN,1,298,83,6,0.583333333,0.285714286,99,24.41176471,21
CAR,2024_15_DAL_CAR,1,219,60,4,0.266666667,0.111111111,84,27.29411765,14
DAL,2024_15_DAL_CAR,0,214,211,1,0.428571429,0.25,80,30.82352941,30
GB,2024_15_GB_SEA,0,229,140,1,0.428571429,0.111111111,105,21.23529412,30
SEA,2024_15_GB_SEA,1,173,80,2,0.333333333,0,30,19.27777778,13
DEN,2024_15_IND_DEN,1,130,72,3,0.333333333,0.375,34,24.88235294,31
IND,2024_15_IND_DEN,0,172,149,5,0.266666667,0,93,18.38888889,13
CLE,2024_15_KC_CLE,1,164,139,5,0.333333333,0,50,20.1,7
KC,2024_15_KC_CLE,0,179,132,1,0.388888889,0.142857143,25,25.58823529,21
LA,2024_15_LA_SF,0,160,142,0,0.266666667,0,25,25,9
SF,2024_15_LA_SF,1,142,63,1,0.230769231,NA,40,21.89473684,6
HOU,2024_15_MIA_HOU,1,131,77,1,0.357142857,0.181818182,20,20.76470588,20
MIA,2024_15_MIA_HOU,0,196,52,4,0.266666667,0.111111111,114,20.84210526,12
ARI,2024_15_NE_ARI,1,232,163,0,0.6875,0.1875,65,23.82352941,30
NE,2024_15_NE_ARI,0,202,116,1,0,0.222222222,15,21.47058824,16
JAX,2024_15_NYJ_JAX,1,294,136,2,0.5,0.117647059,77,23.05882353,25
NYJ,2024_15_NYJ_JAX,0,289,125,0,0.4,0.181818182,91,25,32
PHI,2024_15_PIT_PHI,1,290,131,1,0.555555556,0.111111111,51,20.72222222,27
PIT,2024_15_PIT_PHI,0,128,56,2,0.3,0.090909091,63,17.61904762,13
LAC,2024_15_TB_LAC,1,199,32,2,0.142857143,0.25,73,21.66666667,17
TB,2024_15_TB_LAC,0,288,223,2,0.5625,0.0625,70,17.66666667,40
NO,2024_15_WAS_NO,1,205,69,1,0.307692308,0.111111111,50,24.5,19
WAS,2024_15_WAS_NO,0,226,137,0,0.5,0.133333333,70,23.11764706,20
ARI,2024_16_ARI_CAR,0,202,206,2,0.411764706,0.214285714,97,30.82352941,30
CAR,2024_16_ARI_CAR,1,158,243,0,0.4375,0.142857143,49,21.47058824,30
CIN,2024_16_CLE_CIN,1,252,116,1,0.363636364,0.153846154,19,25.58823529,24
CLE,2024_16_CLE_CIN,0,157,148,3,0.307692308,0.083333333,57,24.41176471,6
DEN,2024_16_DEN_LAC,0,263,110,0,0.384615385,0.272727273,38,17.66666667,24
LAC,2024_16_DEN_LAC,1,284,117,1,0.583333333,0.25,31,18.38888889,34
CHI,2024_16_DET_CHI,1,334,59,2,0.166666667,0.0625,80,21.05555556,17
DET,2024_16_DET_CHI,0,336,146,0,0.466666667,0.08,45,20.88235294,34
HOU,2024_16_HOU_KC,0,244,84,2,0.466666667,0.071428571,20,20.1,19
KC,2024_16_HOU_KC,1,260,124,0,0.571428571,0.166666667,45,20.84210526,27
JAX,2024_16_JAX_LV,0,247,72,2,0.4,0.166666667,53,25.11764706,14
LV,2024_16_JAX_LV,1,257,69,0,0.222222222,0.333333333,69,25,19
LA,2024_16_LA_NYJ,0,110,132,2,0.454545455,0.133333333,57,23.05882353,19
NYJ,2024_16_LA_NYJ,1,256,75,1,0.3125,0.083333333,50,21.89473684,9
MIN,2024_16_MIN_SEA,0,246,81,0,0.214285714,0.25,62,21.23529412,27
SEA,2024_16_MIN_SEA,1,314,59,2,0.25,0.222222222,85,19.33333333,24
BUF,2024_16_NE_BUF,1,154,172,1,0.307692308,0.125,25,23.82352941,24
NE,2024_16_NE_BUF,0,261,126,3,0.625,0.1,87,21.3,20
GB,2024_16_NO_GB,1,216,188,0,0.4,0.266666667,30,23.11764706,34
NO,2024_16_NO_GB,0,153,67,2,0.384615385,NA,70,19.27777778,0
ATL,2024_16_NYG_ATL,1,202,127,1,0.5625,0.105263158,60,24.05882353,34
NYG,2024_16_NYG_ATL,0,210,45,3,0.272727273,0.083333333,55,23.88235294,7
PHI,2024_16_PHI_WAS,0,154,211,2,0.352941176,0.125,103,24.5,33
WAS,2024_16_PHI_WAS,1,258,113,5,0.538461538,0.166666667,76,17.61904762,34
BAL,2024_16_PIT_BAL,1,207,220,1,0.363636364,0.157894737,35,20.72222222,34
PIT,2024_16_PIT_BAL,0,217,117,2,0.363636364,0.333333333,4,20.73684211,17
MIA,2024_16_SF_MIA,1,215,166,0,0.307692308,0.1,80,25,29
SF,2024_16_SF_MIA,0,313,81,1,0.333333333,0.105263158,55,20.76470588,17
DAL,2024_16_TB_DAL,1,292,31,0,0.333333333,0.25,52,21.66666667,26
TB,2024_16_TB_DAL,0,303,134,2,0.5,0.3,25,27.29411765,24
IND,2024_16_TEN_IND,1,131,335,1,0.5,0.133333333,35,27,38
TEN,2024_16_TEN_IND,0,252,65,3,0.454545455,0.272727273,46,24.88235294,30
ARI,2024_17_ARI_LA,0,321,113,2,0.5,0.055555556,48,21.89473684,9
LA,2024_17_ARI_LA,1,189,68,0,0.375,0.1,60,21.47058824,13
ATL,2024_17_ATL_WAS,0,223,126,1,0.307692308,0.2,53,24.5,24
WAS,2024_17_ATL_WAS,1,227,216,1,0.466666667,0.137931034,80,23.88235294,24
BAL,2024_17_BAL_HOU,0,184,251,0,0.444444444,0.272727273,30,20.84210526,31
HOU,2024_17_BAL_HOU,1,190,58,1,0.266666667,0,49,20.73684211,2
CAR,2024_17_CAR_TB,0,203,39,0,0.222222222,0.25,25,21.66666667,14
TB,2024_17_CAR_TB,1,359,202,0,0.666666667,0.172413793,45,30.82352941,48
DAL,2024_17_DAL_PHI,0,148,127,4,0.466666667,0.125,40,17.61904762,7
PHI,2024_17_DAL_PHI,1,197,179,0,0.375,0.08,54,27.29411765,41
CIN,2024_17_DEN_CIN,1,412,115,1,0.470588235,0.125,45,18.38888889,24
DEN,2024_17_DEN_CIN,0,219,123,1,0.333333333,0.111111111,5,24.41176471,24
DET,2024_17_DET_SF,0,303,152,0,0.642857143,0.15,15,25,40
SF,2024_17_DET_SF,1,412,75,2,0.555555556,0.25,72,21.05555556,34
GB,2024_17_GB_MIN,0,185,104,1,0.533333333,0.157894737,51,19.33333333,24
MIN,2024_17_GB_MIN,1,377,69,1,0.5,0.166666667,47,19.27777778,27
IND,2024_17_IND_NYG,0,330,126,3,0.538461538,0.125,73,24.05882353,33
NYG,2024_17_IND_NYG,1,309,80,0,0.466666667,0.117647059,42,24.88235294,45
KC,2024_17_KC_PIT,0,320,69,0,0.25,0.235294118,65,20.72222222,29
PIT,2024_17_KC_PIT,1,205,202,2,0.5,0.0625,50,20.1,10
LAC,2024_17_LAC_NE,0,281,147,0,0.588235294,0.095238095,48,23.82352941,37
NE,2024_17_LAC_NE,1,115,96,1,0.2,0,66,17.66666667,7
LV,2024_17_LV_NO,0,242,156,0,0.578947368,0.125,10,23.11764706,25
NO,2024_17_LV_NO,1,218,81,2,0.076923077,0,95,25.11764706,10
CLE,2024_17_MIA_CLE,1,170,114,2,0.388888889,0,95,20.76470588,3
MIA,2024_17_MIA_CLE,0,225,74,0,0.153846154,0.333333333,83,25.58823529,20
BUF,2024_17_NYJ_BUF,1,251,97,0,0.5,0.1875,104,23.05882353,40
NYJ,2024_17_NYJ_BUF,0,195,112,3,0.5,0.25,76,21.3,14
CHI,2024_17_SEA_CHI,1,122,103,1,0.3125,0,23,21.23529412,3
SEA,2024_17_SEA_CHI,0,160,122,1,0.384615385,0,25,20.88235294,6
JAX,2024_17_TEN_JAX,1,174,122,0,0.571428571,0.222222222,34,27,20
TEN,2024_17_TEN_JAX,0,193,159,1,0.5,0.083333333,50,25,13
BUF,2024_18_BUF_NE,0,129,130,0,0.4,0.142857143,44,23.82352941,16
NE,2024_18_BUF_NE,1,241,77,1,0.285714286,0.090909091,50,21.3,23
ATL,2024_18_CAR_ATL,1,312,227,1,0.642857143,0.16,55,30.82352941,38
CAR,2024_18_CAR_ATL,0,270,155,0,0.538461538,0.238095238,30,23.88235294,38
CHI,2024_18_CHI_GB,0,148,83,2,0.466666667,0.166666667,55,19.27777778,21
GB,2024_18_CHI_GB,1,205,183,2,0.3,0.125,35,20.88235294,19
CIN,2024_18_CIN_PIT,0,277,68,2,0.428571429,0.058823529,25,20.72222222,19
PIT,2024_18_CIN_PIT,1,148,74,1,0.4,0.2,20,24.41176471,17
BAL,2024_18_CLE_BAL,1,217,220,0,0.5,0.176470588,31,25.58823529,35
CLE,2024_18_CLE_BAL,0,183,56,2,0.352941176,0.090909091,72,20.73684211,10
HOU,2024_18_HOU_TEN,0,178,207,1,0.4375,0.047619048,71,27,23
TEN,2024_18_HOU_TEN,1,245,85,1,0.333333333,0,45,20.84210526,12
IND,2024_18_JAX_IND,1,264,177,0,0.333333333,0.083333333,47,25,23
JAX,2024_18_JAX_IND,0,225,113,1,0.333333333,0.142857143,25,24.88235294,23
DEN,2024_18_KC_DEN,1,321,158,0,0.666666667,0.181818182,35,20.1,38
KC,2024_18_KC_DEN,0,98,27,0,0.1,NA,21,18.38888889,0
LAC,2024_18_LAC_LV,0,346,137,0,0.470588235,0.09375,53,25.11764706,34
LV,2024_18_LAC_LV,1,225,39,1,0.222222222,0.1,15,17.66666667,19
MIA,2024_18_MIA_NYJ,0,227,135,4,0.25,0.1,35,23.05882353,20
NYJ,2024_18_MIA_NYJ,1,274,118,1,0.416666667,0.235294118,32,20.76470588,31
DET,2024_18_MIN_DET,1,231,178,2,0.384615385,0.214285714,31,19.33333333,31
MIN,2024_18_MIN_DET,0,166,120,0,0.333333333,0,48,21.05555556,9
NO,2024_18_NO_TB,0,240,64,0,0.2,0.111111111,50,21.66666667,19
TB,2024_18_NO_TB,1,221,179,1,0.588235294,0.166666667,117,23.11764706,27
NYG,2024_18_NYG_PHI,0,138,100,1,0.285714286,0,15,17.61904762,13
PHI,2024_18_NYG_PHI,1,269,51,0,0.285714286,0.153846154,25,24.05882353,20
LA,2024_18_SEA_LA,1,334,84,1,0.333333333,0.117647059,18,21.23529412,25
SEA,2024_18_SEA_LA,0,223,126,0,0.5,0.333333333,15,21.89473684,30
ARI,2024_18_SF_ARI,1,242,151,0,0.333333333,0.19047619,45,25,46
SF,2024_18_SF_ARI,0,326,138,3,0.357142857,0.153846154,45,21.47058824,24
DAL,2024_18_WAS_DAL,1,244,150,1,0.421052632,0.037037037,84,24.5,19
WAS,2024_18_WAS_DAL,0,199,113,0,0.461538462,0.333333333,38,27.29411765,22
