,TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,EPA_per_play,PASS_EPA,RUSH_EPA,SUCCESS_RATE,POINTSSCORED,EPA_per_play_last3,REDZONETD%_last3,POINTSSCORED_last3,OPPONENTPAG_last3,Adj_EPA,Adj_REDZONETD%,Adj_POINTS_last3,EPA_x_REDZONETD,YARD_RATIO
250,BAL,2024_09_DEN_BAL,1,280,127,0,0.375,0.173913043478261,56,18.3888888888889,0.342818205061851,0.966950780715702,0.0814094907302561,0.605633802816901,41,0.18041998770949888,0.19047619047619033,31.666666666666668,23.918300653594766,-23.575482448532917,-0.016563146997929323,7.748366013071902,0.05962055740206109,2.1875
280,BAL,2024_10_CIN_BAL,1,290,99,0,0.615384615384615,0.222222222222222,43,24.4117647058824,0.208579808629139,0.595754615621197,-0.0392393397231306,0.525,35,0.23299850261836255,0.19289164941338832,35.333333333333336,21.88126361655773,-21.672683807928593,0.029330572808833666,13.452069716775604,0.046351068584253065,2.9
306,BAL,2024_11_BAL_PIT,0,207,124,3,0.307692307692308,0.4,60,20.7222222222222,-0.167350651023196,-0.179161235995087,0.0403091284452885,0.423076923076923,16,0.20211402207558424,0.20347365999539901,33.333333333333336,22.7962962962963,-22.963646947319496,0.196526340004601,10.537037037037035,-0.0669402604092784,1.656
334,BAL,2024_12_BAL_LAC,0,177,212,0,0.533333333333333,0.181818181818182,52,17.6666666666667,0.234870291797957,0.33847482228235,0.316031760657539,0.493506493506494,30,0.12801578755593132,0.265378421900161,30.666666666666668,21.174291938997836,-20.93942164719988,-0.08356024008197899,9.492374727668832,0.0427036894178104,0.8309859154929577
378,BAL,2024_13_PHI_BAL,1,237,166,0,0.411764705882353,0.153846153846154,25,17.6190476190476,-0.0510757472997104,-0.0249407340247433,0.026482521181606,0.415730337078652,18,0.0920331498013,0.26801346801346804,27.0,20.933551198257103,-20.984626945556812,-0.11416731416731404,6.066448801742897,-0.00785780727687853,1.4191616766467066
418,BAL,2024_15_BAL_NYG,0,290,170,1,0.818181818181818,0.142857142857143,30,24.0588235294118,0.310678704593896,0.837382637357223,0.0754194419598206,0.583333333333333,35,0.005481297825016866,0.24522144522144532,21.333333333333332,18.669312169312164,-18.358633464718267,-0.10236430236430233,2.664021164021168,0.044382672084842326,1.695906432748538
472,BAL,2024_16_PIT_BAL,1,207,220,1,0.363636363636364,0.157894736842105,35,20.7222222222222,0.167655092146269,0.295094561325557,0.0978781865823112,0.558441558441558,34,0.16482441636404754,0.15950715950715966,27.666666666666668,19.781512605042032,-19.613857512895763,-0.0016124226650546525,7.885154061624636,0.02647185665467401,0.9366515837104072
484,BAL,2024_17_BAL_HOU,0,184,251,0,0.444444444444444,0.272727272727273,30,20.8421052631579,0.2631280067926,0.511549441341751,0.2271727579991,0.581081081081081,31,0.1424193498134849,0.15153267784846733,29.0,20.800031123560533,-20.536903116767935,0.12119459487880566,8.199968876439467,0.07176218367070916,0.7301587301587301
520,BAL,2024_18_CLE_BAL,1,217,220,0,0.5,0.176470588235294,31,25.5882352941176,0.0931439536019637,0.170111358694304,0.146546350893498,0.458823529411765,35,0.2471539345109217,0.191159717475507,33.333333333333336,21.8743836715973,-21.781239717995337,-0.014689129240213011,11.458949661736035,0.016437168282699467,0.9819004524886877
552,BAL,2024_19_PIT_BAL,1,175,299,0,0.666666666666667,0.230769230769231,30,20.7222222222222,0.203665223427072,0.474578657561713,0.224446692509928,0.534090909090909,28,0.17464235084694427,0.202364199268224,33.333333333333336,22.3841875931659,-22.180522369738828,0.02840503150100701,10.949145740167435,0.04699966694470897,0.5833333333333334
